"code","date","market","buy_type","score_total","entry_close","max_high_20d","max_gain_20d","hit"
"	000035","2024-05-30","CN","左侧","75.0","4.64","5.54","0.194","True"
"	000035","2024-05-31","CN","右侧","85.0","4.93","5.54","0.1237","True"
"	000035","2024-09-20","CN","左侧","75.0","4.1","5.55","0.3537","True"
"	000035","2024-09-23","CN","左侧","90.0","4.09","5.55","0.357","True"
"	000035","2024-09-24","CN","右侧","75.0","4.26","5.55","0.3028","True"
"	000035","2024-10-11","CN","右侧","90.0","4.46","5.69","0.2758","True"
"	000035","2025-02-07","CN","右侧","85.0","4.62","4.89","0.0584","False"
"	000035","2025-02-10","CN","右侧","90.0","4.58","4.89","0.0677","False"
"	000035","2025-02-18","CN","右侧","85.0","4.6","4.99","0.0848","False"
"	000035","2025-02-19","CN","右侧","75.0","4.68","4.99","0.0662","False"
"	000035","2025-02-21","CN","右侧","90.0","4.75","5.08","0.0695","False"
"	000035","2025-02-24","CN","右侧","90.0","4.77","5.08","0.065","False"
"	000035","2025-05-12","CN","右侧","90.0","4.54","4.61","0.0154","False"
"	000035","2025-05-15","CN","左侧","90.0","4.42","4.51","0.0204","False"
"	000035","2025-07-10","CN","右侧","90.0","4.39","4.5","0.0251","False"
"	000035","2025-08-21","CN","右侧","75.0","4.49","5.21","0.1604","True"
"	000035","2025-08-22","CN","右侧","90.0","4.45","5.21","0.1708","True"
"	000035","2025-08-26","CN","右侧","90.0","4.49","5.21","0.1604","True"
"	000035","2025-08-27","CN","右侧","90.0","4.38","5.21","0.1895","True"
"	000035","2025-11-20","CN","右侧","90.0","5.95","6.4","0.0756","False"
"	000035","2025-12-15","CN","右侧","90.0","5.97","5.99","0.0034","False"
"	000035","2025-12-18","CN","左侧","75.0","5.67","6.2","0.0935","False"
"	000035","2025-12-19","CN","左侧","75.0","5.68","6.23","0.0968","False"
"	000035","2025-12-24","CN","左侧","90.0","5.58","6.44","0.1541","True"
"	000035","2025-12-25","CN","左侧","90.0","5.59","6.44","0.1521","True"
"	000035","2025-12-29","CN","左侧","90.0","5.6","6.44","0.15","True"
"	000035","2025-12-31","CN","左侧","90.0","5.52","6.44","0.1667","True"
"	000035","2026-02-26","CN","右侧","90.0","6.37","8.6","0.3501","True"
